Domain_code,Domain,Area_code,Area,Element _code,Element,Crop _code,Crop,Year Code,Year,Unit,Value,Flag,Flag Description
QC,Crops,114,Kenya,5312,Area harvested,689,"Chillies and peppers, dry",2017,2017,ha,2275,Im,FAO data based on imputation methodology
QC,Crops,114,Kenya,5312,Area harvested,689,"Chillies and peppers, dry",2018,2018,ha,2115,Im,FAO data based on imputation methodology
QC,Crops,114,Kenya,5312,Area harvested,689,"Chillies and peppers, dry",2019,2019,ha,1959,Im,FAO data based on imputation methodology
QC,Crops,114,Kenya,5419,Yield,689,"Chillies and peppers, dry",2016,2016,hg/ha,12310,Fc,Calculated data
QC,Crops,114,Kenya,5419,Yield,689,"Chillies and peppers, dry",2017,2017,hg/ha,12440,Fc,Calculated data
QC,Crops,114,Kenya,5419,Yield,689,"Chillies and peppers, dry",2018,2018,hg/ha,12577,Fc,Calculated data
QC,Crops,114,Kenya,5419,Yield,689,"Chillies and peppers, dry",2019,2019,hg/ha,12711,Fc,Calculated data
QC,Crops,114,Kenya,5510,Production,689,"Chillies and peppers, dry",2016,2016,tonnes,3000,Im,FAO data based on imputation methodology
QC,Crops,114,Kenya,5510,Production,689,"Chillies and peppers, dry",2017,2017,tonnes,2830,Im,FAO data based on imputation methodology
QC,Crops,114,Kenya,5510,Production,689,"Chillies and peppers, dry",2018,2018,tonnes,2660,Im,FAO data based on imputation methodology
QC,Crops,114,Kenya,5510,Production,689,"Chillies and peppers, dry",2019,2019,tonnes,2490,Im,FAO data based on imputation methodology
QC,Crops,114,Kenya,5312,Area harvested,401,"Chillies and peppers, green",2016,2016,ha,404,Im,FAO data based on imputation methodology
QC,Crops,114,Kenya,5312,Area harvested,401,"Chillies and peppers, green",2017,2017,ha,390,Im,FAO data based on imputation methodology
QC,Crops,114,Kenya,5312,Area harvested,401,"Chillies and peppers, green",2018,2018,ha,380,Im,FAO data based on imputation methodology
QC,Crops,114,Kenya,5312,Area harvested,401,"Chillies and peppers, green",2019,2019,ha,371,Im,FAO data based on imputation methodology
QC,Crops,114,Kenya,5419,Yield,401,"Chillies and peppers, green",2016,2016,hg/ha,61807,Fc,Calculated data
QC,Crops,114,Kenya,5419,Yield,401,"Chillies and peppers, green",2017,2017,hg/ha,57179,Fc,Calculated data
QC,Crops,114,Kenya,5419,Yield,401,"Chillies and peppers, green",2018,2018,hg/ha,56053,Fc,Calculated data
